borough,time_of_day,incident_severity_level,call_volume_density,response_minutes
BROOKLYN,day,1,0.8788864645744174,20.652657242502443
BROOKLYN,day,2,0.3668514139215452,13.416016177211086
MANHATTAN,day,3,0.24335473361451265,13.505087887458988
STATEN ISLAND,night,4,0.4918504565152121,11.670916132034202
QUEENS,day,3,0.4617088371603699,12.96270448095492
BRONX,day,5,0.6181473747980839,11.962999287152776
BRONX,day,3,0.6250476090949731,13.573208188436224
BROOKLYN,day,3,0.7749882859419777,14.878431733547698
BRONX,day,2,0.5589009533850492,16.216916742234492
MANHATTAN,day,4,0.19434037684668898,12.17747203504874
MANHATTAN,day,2,0.8724622019977955,16.72116552638362
MANHATTAN,day,4,0.37878812486666835,13.188547573766265
BROOKLYN,day,5,0.9741677142759329,13.48024834234196
BROOKLYN,day,5,0.20607409781179314,8.908114331007761
MANHATTAN,night,3,0.9624260550092529,16.3483478492821
BRONX,day,3,0.1819106261942653,10.860478382038675
BROOKLYN,day,4,0.3079325241523535,12.560911797626671
MANHATTAN,day,2,0.14192194787788745,14.261928709982525
BROOKLYN,night,3,0.7346018319750954,15.31557782578665
MANHATTAN,day,1,0.8652688629146126,20.38446158578774
BRONX,night,3,0.4906639736343824,14.476370018220646
MANHATTAN,night,2,0.9356698675381867,19.91044753439422
STATEN ISLAND,night,2,0.6312691645800397,15.013217169294096
QUEENS,day,3,0.6670064219018709,15.847092675438162
MANHATTAN,day,3,0.8608772815306929,18.460257494237503
MANHATTAN,night,3,0.36712018454665507,14.582327634509731
BRONX,night,1,0.4188391491948632,16.687988609258692
QUEENS,night,3,0.9153567272751799,16.938604041432114
QUEENS,day,2,0.9108671464348874,18.09775735798819
QUEENS,day,3,0.9788344985807838,17.835384326942233
MANHATTAN,day,3,0.911654484797504,18.705227803269747
BROOKLYN,night,3,0.2146348324300248,11.173221729093887
MANHATTAN,day,4,0.8413518575232886,14.265631269011328
BRONX,day,2,0.4688546302986347,14.506055643656236
QUEENS,night,4,0.9917212203513441,16.21755436036404
BROOKLYN,day,3,0.525052867895921,12.521272845197993
MANHATTAN,night,3,0.5984524742519985,16.063649949567584
BROOKLYN,day,3,0.5767974237311188,15.184234963563826
BROOKLYN,day,1,0.38956332687245,18.12733929509436
QUEENS,day,3,0.16751988000362636,11.505285648820236
QUEENS,night,3,0.9060861073617267,14.47770842915054
BRONX,day,2,0.8224082312736581,16.494427550501033
BROOKLYN,day,1,0.22557410250370236,14.247837039996677
MANHATTAN,night,1,0.7990914442150656,19.44856162779816
QUEENS,day,5,0.663261999445549,11.091721115487356
QUEENS,day,3,0.4682294091258601,11.844961327852822
BROOKLYN,day,2,0.32861903418600646,16.50081811099179
QUEENS,day,3,0.8737559051520092,14.28907573714513
BROOKLYN,day,3,0.7301694333646477,17.361425425505185
BROOKLYN,day,4,0.5929659185222232,14.67647410812166
BROOKLYN,day,1,0.6486116805086177,19.49393898293286
MANHATTAN,day,2,0.1819595638739629,13.650217236184659
MANHATTAN,night,4,0.5265277848200728,13.933371656342755
MANHATTAN,day,1,0.2743302635071318,15.150301352535616
QUEENS,day,2,0.28754531110794285,14.762132964242127
BROOKLYN,day,5,0.69517356605818,12.229846441534649
BROOKLYN,day,3,0.9201305366508593,16.48966423072656
BRONX,day,2,0.4633809494305119,13.843482355310805
MANHATTAN,day,1,0.28697434571097136,13.792325904766493
BROOKLYN,night,1,0.6838722435129888,17.39892055439152
QUEENS,day,2,0.8840683417152859,18.881802055884844
MANHATTAN,night,4,0.7734869210102417,14.644264872396807
MANHATTAN,night,3,0.8818815074829285,17.22903517010098
MANHATTAN,day,4,0.5828992039097194,14.67551005535932
MANHATTAN,day,5,0.7766886199322718,15.715278683299285
BRONX,day,3,0.22605810342304283,13.759383258184545
BRONX,night,2,0.41344715382687236,13.820604495295246
QUEENS,day,3,0.4505942480333702,10.797777926492019
BRONX,day,5,0.5601661716214311,13.972617226459427
BRONX,day,4,0.9361687242311414,17.907886641493764
MANHATTAN,night,1,0.8868669041999568,20.890779193014858
BRONX,night,3,0.2210729430602661,10.612388235193544
BROOKLYN,day,3,0.2555106866942169,13.816691304185138
BRONX,night,5,0.4218764946300202,10.112616791879999
BRONX,day,2,0.36166947930160653,14.51527426773251
BROOKLYN,day,3,0.6532938578406361,16.31976068769029
MANHATTAN,night,4,0.9124984429880904,16.432489575670544
MANHATTAN,day,3,0.9660623875053281,16.5564276255667
BROOKLYN,day,3,0.6882426572817039,15.083886950232705
BRONX,day,1,0.854343281260978,20.246614842589974
BRONX,night,2,0.5726819802077174,16.634735538236185
MANHATTAN,night,2,0.2874942521740358,15.483132528361404
BROOKLYN,day,5,0.5722195708841297,12.63953475611788
BROOKLYN,night,2,0.599574341293886,16.06317283302954
MANHATTAN,day,3,0.7682118077922009,16.907780480912194
MANHATTAN,day,3,0.29789469073661423,9.585620569574871
BROOKLYN,day,2,0.43147934387805853,14.865035502596006
BRONX,day,3,0.42762472229310966,14.396244185195986
BROOKLYN,day,4,0.9634956361670484,15.194248274545243
BROOKLYN,night,4,0.49955046429404704,12.087605147850772
QUEENS,day,3,0.7795845705683319,14.017556166564376
BROOKLYN,day,3,0.7757302432369951,17.246285652315443
STATEN ISLAND,day,2,0.3389897663229172,13.861589409347646
STATEN ISLAND,day,5,0.6146827204345588,11.185935200212334
MANHATTAN,night,2,0.9048726039867833,17.110215171564626
BROOKLYN,day,4,0.5276779475112545,12.637366606904395
BROOKLYN,day,2,0.9506057566082915,18.442804208653886
MANHATTAN,night,5,0.2930124063917454,10.067894593628083
MANHATTAN,day,4,0.16674319519662767,10.444597716316533
QUEENS,day,4,0.9023084858302743,14.049680031760765
BROOKLYN,day,2,0.8629130781659949,19.228508747326952
MANHATTAN,day,3,0.9933308883404602,15.861229150195596
MANHATTAN,night,3,0.7114541393011834,18.457205627094236
BRONX,night,4,0.9430191340004346,15.810233721034578
MANHATTAN,day,2,0.8442541225756998,18.736853521949794
MANHATTAN,night,5,0.8599836998080782,15.17809502440002
BROOKLYN,day,4,0.6122274134088415,11.63727649295535
STATEN ISLAND,day,2,0.4441281381250398,13.089191811631542
MANHATTAN,day,4,0.9411022652889537,16.071874205509538
QUEENS,day,3,0.4889054580543051,15.016557921871597
QUEENS,day,3,0.5849374305247022,13.946297401058695
MANHATTAN,day,2,0.501502876412669,17.099834302104522
QUEENS,night,3,0.6083364825641774,13.4466923415438
BROOKLYN,day,4,0.5234545710930945,13.386665194866103
QUEENS,day,3,0.1431708027215283,13.143297729259281
QUEENS,day,3,0.8938433674069287,17.20461391815397
BROOKLYN,day,3,0.49995443702419284,14.151956655323799
MANHATTAN,day,4,0.6300492836566138,15.005909360486552
BRONX,day,1,0.22526902248218833,16.05726899166288
BROOKLYN,night,4,0.10304906318437523,10.67772411673517
MANHATTAN,day,3,0.3207610842792787,15.119291080847802
MANHATTAN,day,2,0.7341274289200153,19.39720153258506
BROOKLYN,day,2,0.18927507710159075,13.677697684910479
QUEENS,day,3,0.917998696347821,16.93724640003416
MANHATTAN,day,4,0.29352031242056614,11.548168125341927
BROOKLYN,night,3,0.28413425286259825,11.739185768028195
MANHATTAN,day,4,0.26335716545934595,11.488429068640965
QUEENS,day,1,0.11258354167422828,14.040259238794984
MANHATTAN,day,3,0.7946249216304111,14.87116480358408
QUEENS,day,5,0.8875310781207327,13.801351079084826
BROOKLYN,day,4,0.652746432354579,10.322061303181886
BRONX,night,2,0.2693799835118761,17.308750220210783
MANHATTAN,day,3,0.3567501972467918,15.821131242659728
BROOKLYN,night,2,0.5283340276284669,15.720960710578261
MANHATTAN,day,3,0.9589113564609707,17.944235449672835
BRONX,night,4,0.32261623463596856,11.560571773438534
BRONX,day,4,0.7584813135278993,13.323136072344615
MANHATTAN,night,2,0.4955034009636283,16.75191508336791
QUEENS,day,5,0.3680626135240196,9.219607014664135
BRONX,night,3,0.5103243433199024,13.903980970902206
BROOKLYN,day,3,0.16408604578710928,12.284312573792977
BROOKLYN,day,3,0.8188186338373262,14.746087761917828
MANHATTAN,day,3,0.3189717351846704,13.820799947660735
MANHATTAN,night,3,0.7528709108736734,16.789798216619847
BRONX,day,3,0.16151353430337526,11.904457518599036
BRONX,night,3,0.9595887005491175,16.678329647045878
QUEENS,day,2,0.27371348686512875,14.944566995786584
BROOKLYN,day,4,0.8944678685863724,14.78965807995356
BROOKLYN,day,3,0.828525888653891,16.65820936443812
QUEENS,night,2,0.9710739316732744,19.66873759658694
BRONX,night,4,0.5301015948511747,12.45040899850826
BRONX,night,5,0.7546575644613563,12.662630089959876
QUEENS,day,5,0.43363959133400565,9.70299578009316
QUEENS,day,3,0.2659314142177245,13.413397944691528
MANHATTAN,night,2,0.4987683396401039,16.23272473375712
MANHATTAN,day,3,0.2491741138496094,14.859657232768306
BRONX,night,2,0.9838401605077456,18.57065556972387
QUEENS,night,5,0.18662184202664472,7.181690305035571
MANHATTAN,night,2,0.6302905511073583,18.212136386886776
MANHATTAN,night,2,0.6638174697286503,17.24921215272944
QUEENS,day,3,0.5842715885866488,14.742366404732211
MANHATTAN,day,3,0.6959672971406502,12.948502169505746
MANHATTAN,night,4,0.20456269751070186,11.435903848093497
BROOKLYN,day,3,0.599516671784762,14.345332008091976
QUEENS,night,2,0.3584913140146254,12.854283117257532
QUEENS,night,2,0.9461584569709509,17.286140768103422
MANHATTAN,day,3,0.7858644880957532,16.119675399471213
QUEENS,night,2,0.9752630339437685,18.081626766813798
MANHATTAN,day,3,0.1338004627661706,10.92891125443816
BROOKLYN,day,3,0.3566198576626378,13.697557611118803
QUEENS,day,4,0.2758803279745141,12.032679874081287
QUEENS,day,5,0.11003912858064746,8.0523685321116
BRONX,day,5,0.3180931572216893,10.53839185301579
QUEENS,day,5,0.710898385168386,12.934314449131065
BROOKLYN,night,2,0.30798002992111173,16.08565760910824
MANHATTAN,night,2,0.5581031009343564,19.171836587458884
BROOKLYN,day,2,0.8990363034684987,17.84469357461413
MANHATTAN,day,4,0.7243821283141677,13.94630305184875
MANHATTAN,night,5,0.4551661629154288,12.398738836939968
STATEN ISLAND,day,4,0.43522204502089745,11.47886275622471
BROOKLYN,day,2,0.5101622326076363,16.846864871488464
BRONX,day,5,0.2593372969539157,11.452831375300754
QUEENS,day,3,0.6706006906743893,14.572548379941722
QUEENS,day,1,0.427737537194145,16.691681863337365
BROOKLYN,night,3,0.8671288143358393,15.459871391402785
BROOKLYN,day,1,0.7808973940520346,21.838218410109373
BROOKLYN,day,3,0.649461847682944,14.817648104488203
MANHATTAN,day,2,0.4277820003845645,15.710723888706672
QUEENS,day,3,0.28893864850613593,11.662001346079991
MANHATTAN,night,3,0.7985366776950605,16.116613374644686
MANHATTAN,night,4,0.5377681890919779,12.720168770480676
QUEENS,night,3,0.3022750343596218,11.53634258387011
MANHATTAN,day,3,0.2756571535360056,11.852816384322903
BRONX,night,4,0.24886081405122312,9.775213787017064
STATEN ISLAND,night,5,0.7994450765850355,13.735148731539873
BRONX,night,2,0.30608846677028057,15.172361206376467
BROOKLYN,day,3,0.5739780371726778,15.841942253695667
MANHATTAN,day,2,0.5063917248757508,18.00419675659268
BRONX,day,1,0.6216498093054555,20.14168523772033
BROOKLYN,night,3,0.8894394103340748,14.655649105438872
STATEN ISLAND,day,4,0.8809726510735576,12.050462493634276
STATEN ISLAND,day,2,0.5059684646423737,13.324326627101806
BRONX,night,4,0.11382962566125099,9.276216811010613
MANHATTAN,night,4,0.4837994251428729,12.884012994726374
BROOKLYN,night,5,0.6455741836817264,11.459859130563974
BRONX,day,2,0.6019882831882556,16.476094536482126
BROOKLYN,night,5,0.686202495220185,12.302670687825461
MANHATTAN,day,2,0.23866815922577514,13.983941280753639
BROOKLYN,day,3,0.6818815889026593,12.8215717954822
BRONX,day,1,0.264386456869395,14.427069523196629
QUEENS,day,1,0.775471582627074,17.781478903100894
BROOKLYN,day,4,0.405178851936412,11.737167213417415
MANHATTAN,night,3,0.7389058900433082,15.14728733410886
QUEENS,day,2,0.1430790390154964,12.141045993805024
STATEN ISLAND,night,2,0.4670740230318221,12.67879628352414
MANHATTAN,day,3,0.7345310700369995,16.323468733382498
BROOKLYN,day,1,0.30418346469834473,14.889482926504101
BRONX,day,4,0.8157583403175003,13.383743624419195
QUEENS,day,1,0.6677017597944388,16.169640481476883
QUEENS,day,2,0.6288055949348185,15.70303553239258
QUEENS,day,3,0.41819396878390347,11.878523473152493
BROOKLYN,day,3,0.5342063233430059,15.560482221740054
MANHATTAN,day,3,0.6376143708800678,16.33151373075192
BRONX,day,2,0.5252159025234014,15.63008112458174
BRONX,night,5,0.7284819915465041,11.27815034823973
BRONX,day,3,0.4903272397962636,14.343751425055276
BRONX,night,1,0.28204586356782735,16.562139180409243
BROOKLYN,night,3,0.29254040452094254,13.072738724028081
BROOKLYN,night,4,0.105223391958647,12.008394274291522
QUEENS,night,2,0.37086194400280525,14.762167417708014
QUEENS,day,1,0.7740258764306677,19.527496857880983
QUEENS,night,4,0.8147464379538486,14.05613034534319
QUEENS,night,3,0.282220787886175,12.845232465168507
BRONX,day,3,0.963139597184267,16.004269902494723
BROOKLYN,day,1,0.552162514132114,17.23897830600339
BROOKLYN,day,2,0.9252808741166524,19.033561945937098
MANHATTAN,night,3,0.736088753675468,16.8950962767594
BROOKLYN,night,2,0.7501900807201718,18.085369712213016
MANHATTAN,day,3,0.17653925917546404,14.167976655374991
BROOKLYN,day,3,0.29799201420723764,11.22698268616855
BROOKLYN,day,2,0.10793334996502538,12.132223717640311
MANHATTAN,day,5,0.7445148764290638,13.614833866078019
BROOKLYN,night,4,0.40999445958565905,11.195727629142631
MANHATTAN,day,4,0.807987264468712,19.40523910859386
MANHATTAN,day,1,0.40504259794332365,18.151640429635766
BRONX,day,2,0.837400377068975,17.64910543223215
BROOKLYN,night,3,0.21762842837348173,11.796021656727001
MANHATTAN,day,2,0.25603584108175736,14.38803822719977
BROOKLYN,night,5,0.40678888562554283,10.480296550144242
QUEENS,day,2,0.46763864999404603,14.97402954410681
MANHATTAN,day,3,0.41383252975868057,13.841872469799208
QUEENS,day,3,0.7872823292708979,14.989552444436953
MANHATTAN,day,3,0.18725625336404322,14.530307137147796
MANHATTAN,day,2,0.41609531767463925,17.666025520066395
BROOKLYN,night,3,0.8535159995639134,16.85029477308729
BROOKLYN,night,2,0.1601173695359548,12.031251229299622
QUEENS,night,4,0.9481091569042217,15.408913307844292
QUEENS,day,1,0.9876851580448116,21.685092457224506
STATEN ISLAND,night,5,0.17971135644257208,9.011861139231574
BROOKLYN,day,4,0.3621452700301633,12.635255278567662
BROOKLYN,day,2,0.4351605994318205,17.13545144264982
QUEENS,day,4,0.7987522317874535,13.855950633593272
MANHATTAN,day,1,0.6363341309050604,19.78989541468334
BROOKLYN,night,5,0.6799291304433106,11.402608668291302
MANHATTAN,day,3,0.7817588405366553,17.132151010875113
MANHATTAN,day,2,0.20618109949332314,16.235618239471233
STATEN ISLAND,day,3,0.8498885112192361,14.216967229140765
BRONX,day,1,0.7350578237621296,17.6441437390967
QUEENS,day,5,0.6196075526767333,11.144435819227203
BROOKLYN,day,1,0.900761801304751,19.782957064012084
MANHATTAN,night,3,0.7302757184954264,17.225769435504773
MANHATTAN,night,3,0.2815299663679229,12.986033350255047
MANHATTAN,day,5,0.4867708429681,13.726138018015906
BROOKLYN,day,2,0.5446385802421599,14.592539454020772
QUEENS,day,3,0.1496958640753651,12.677504859953554
QUEENS,night,3,0.9591737620240501,15.516810379186602
MANHATTAN,day,4,0.21571953471719063,9.34699769416091
STATEN ISLAND,day,1,0.7277151405040542,17.61559860089499
QUEENS,day,2,0.5556079324817922,15.105921977914988
BROOKLYN,day,2,0.12306902489598033,12.068417420340237
QUEENS,day,4,0.9322727282779255,12.6421204637482
BROOKLYN,night,2,0.8666531279370399,18.223212386865015
MANHATTAN,day,3,0.571832135113452,16.58791314818602
BROOKLYN,day,2,0.30604810252550074,15.291256858119489
QUEENS,night,4,0.20946060161208482,10.02954188908567
MANHATTAN,night,5,0.42705323148891394,11.850463092539224
MANHATTAN,day,3,0.32988545294148147,13.8115984852662
MANHATTAN,day,3,0.5560220809056688,13.5984744342504
MANHATTAN,day,2,0.9697683665110861,17.89842160005393
BRONX,night,1,0.6174581439066773,17.669675700611787
QUEENS,day,2,0.9009379503010881,17.463312733317785
BROOKLYN,night,3,0.6857909537461995,16.478820413558417
MANHATTAN,night,3,0.5277218739284805,16.03895724906482
BROOKLYN,day,5,0.8691468064600341,14.17561386090096
BROOKLYN,day,3,0.5242312991556978,14.071164188819418
MANHATTAN,day,3,0.8817653534593249,15.774692193353445
BROOKLYN,day,3,0.3624190926181887,13.850209466497455
BROOKLYN,day,3,0.21593176638668932,13.033759657428082
QUEENS,night,2,0.8697830179266445,14.587351861549966
QUEENS,night,3,0.6286736474134001,13.285172884287906
MANHATTAN,day,3,0.9001831584240642,16.721925276883745
BROOKLYN,night,4,0.9440444862931449,15.678309402253566
QUEENS,day,5,0.14826555133430427,6.9996935643541445
BROOKLYN,day,2,0.5508723716729815,16.134908933284812
BRONX,day,1,0.4374680941670763,16.490900683662407
QUEENS,day,3,0.6632725573631054,14.320292257014913
MANHATTAN,night,3,0.8142320774820911,16.132835351192696
MANHATTAN,night,2,0.35253119437693203,14.824670698570046
QUEENS,day,4,0.6011185459358545,11.210950076846224
MANHATTAN,day,5,0.7378557219144096,13.752143121132262
BROOKLYN,day,5,0.22098797455216063,9.921744988898688
BRONX,day,2,0.8326602153561402,16.787549859664505
BROOKLYN,night,4,0.6454986398676757,15.420509274360345
BROOKLYN,night,4,0.9545836934022867,15.227272270184404
QUEENS,day,3,0.405576027217624,14.672466925470427
BROOKLYN,day,3,0.1973313481034788,11.512101154074688
BROOKLYN,day,4,0.5558510809332328,10.581138694146691
BRONX,day,3,0.17722969453849496,12.334630404395037
BROOKLYN,day,3,0.9725738709916061,17.619984287588224
STATEN ISLAND,day,3,0.13481646243147238,10.317579560173668
BRONX,night,3,0.7781535109965773,14.987318847344964
MANHATTAN,night,2,0.5725921583280197,16.980362358549144
MANHATTAN,day,5,0.43175858724845984,10.692919467671556
MANHATTAN,day,3,0.1592579480577892,12.37235718277753
MANHATTAN,day,3,0.659950231756247,16.999635213333697
MANHATTAN,day,1,0.6266982964518597,19.194599602373202
QUEENS,night,3,0.3527949457608398,13.225108812243832
MANHATTAN,day,2,0.9191995312692809,18.996554745299377
BROOKLYN,day,1,0.37369900660855326,16.218622727989867
BRONX,day,3,0.5047528695328956,12.596714614897447
MANHATTAN,night,3,0.5893862103267902,15.0869664320423
BRONX,day,3,0.1902086903586575,7.951019020624308
MANHATTAN,day,1,0.9389455472922691,20.29487969783299
MANHATTAN,day,3,0.43708253720593704,14.442787479209583
QUEENS,night,2,0.17270129248690924,13.598966786289099
QUEENS,night,5,0.448562056307797,9.59323991297073
BRONX,day,3,0.6401822923833226,15.278393151185595
QUEENS,night,3,0.5622874046391966,11.239121736486483
BRONX,night,2,0.7250877766335466,16.944866325469714
MANHATTAN,night,1,0.14993554786111957,13.859177709601195
MANHATTAN,day,5,0.3560865492448505,9.364598351300328
QUEENS,day,2,0.837307519156092,17.017900217077965
BRONX,day,3,0.17190431901222478,13.348894859027725
STATEN ISLAND,night,3,0.8699373592263618,15.500040951135421
BROOKLYN,day,1,0.18270648286939561,15.409469335215613
BROOKLYN,night,4,0.8510087934025267,14.9081206897559
QUEENS,day,3,0.424709560970854,12.10425747446519
BROOKLYN,night,2,0.6509881569314943,16.178642924007494
BRONX,night,1,0.23759840408319838,15.957240881105747
BRONX,day,2,0.15955184955266277,11.674654399958916
BROOKLYN,night,4,0.2943443836181216,12.024903353857416
QUEENS,day,3,0.215068436117826,11.131736354223246
QUEENS,night,2,0.3811653079116686,15.268242991269325
MANHATTAN,day,1,0.5629449218599182,19.712454140767967
BRONX,day,3,0.6298835172085085,12.786542046848417
BROOKLYN,night,3,0.8108812966417686,15.572831512298833
BRONX,day,3,0.6906159039235228,14.16237014997415
BROOKLYN,night,3,0.6478824926165977,13.035962643920115
BRONX,day,2,0.4706038247371972,14.11988492934049
BROOKLYN,day,3,0.5264275914641249,17.35128635883522
MANHATTAN,day,5,0.47306874645116304,12.306358727387487
BRONX,day,2,0.8579494270552448,20.177416838185998
MANHATTAN,day,3,0.3070004072935599,14.690420775430141
BROOKLYN,day,3,0.10514883838776817,10.793255656310322
STATEN ISLAND,day,3,0.6861879075036154,13.402095962764648
STATEN ISLAND,day,2,0.2822159652749483,13.540527190575533
BROOKLYN,night,4,0.9011036226788284,15.782180991580029
QUEENS,night,3,0.8731416967359904,15.182610609933937
BROOKLYN,day,3,0.1690546347353853,10.286863321084954
MANHATTAN,night,2,0.19574956487266962,18.51768559653884
BROOKLYN,day,2,0.5456544330219997,15.977374207831632
QUEENS,night,1,0.6483003964924192,17.223065905381585
QUEENS,night,4,0.3474175037340167,10.994215130957471
QUEENS,night,2,0.7451179450294336,16.351992335518084
QUEENS,day,3,0.6354244188269844,14.477533411621978
MANHATTAN,night,3,0.3923416987736993,15.794557785368749
BROOKLYN,day,3,0.12283433923808404,11.648965029423838
MANHATTAN,night,3,0.7751352531686659,15.343126618403012
BROOKLYN,day,3,0.2932782992425744,12.7123363917024
BROOKLYN,day,2,0.8510263691163655,17.574389261564484
BRONX,night,2,0.4782612340488297,17.117376746013615
BROOKLYN,night,3,0.6193696983685889,16.431245917080915
MANHATTAN,day,3,0.8856538573681016,17.58578007340962
MANHATTAN,night,2,0.877260700827958,17.46771152959862
QUEENS,day,3,0.43436761771921595,11.552318799046969
QUEENS,day,2,0.28800000344335885,13.690147936283298
MANHATTAN,day,2,0.7976314699557352,18.888192117897816
MANHATTAN,day,1,0.48977218324191807,17.633971807881203
QUEENS,day,4,0.2728377942031037,9.797242161271493
MANHATTAN,day,2,0.9139828080854352,18.529529172740954
BRONX,day,2,0.27829377481697865,14.080836784017627
QUEENS,day,2,0.12322645137210797,9.741657111431024
MANHATTAN,day,2,0.11825197639067797,12.747045892015755
MANHATTAN,night,3,0.6600838208088379,15.238083820720625
STATEN ISLAND,night,1,0.6955075546457773,18.569802939139855
BROOKLYN,day,2,0.37993753455128554,14.093017604268642
BROOKLYN,day,3,0.3880098903223571,13.73862605729277
BRONX,day,2,0.40554452355394854,15.207890704217862
BRONX,day,4,0.7121426920829907,15.286427305332355
STATEN ISLAND,night,3,0.15232041192414575,11.905175565863926
QUEENS,day,2,0.936204717422193,17.816327100690355
BROOKLYN,day,3,0.3002689397597018,12.38116641901073
MANHATTAN,day,2,0.999705884717883,19.001488527275413
QUEENS,day,3,0.2543704244084683,11.564131891696107
BROOKLYN,night,3,0.7943918115811397,15.642706750089086
BROOKLYN,night,2,0.30107129043666253,15.221316279068187
BRONX,day,3,0.17276212147892858,12.32732557059528
MANHATTAN,day,4,0.887439991915584,16.578521376825314
BROOKLYN,night,5,0.8728761332718027,14.98483531999012
MANHATTAN,night,3,0.4632133532046412,16.94632974151038
BROOKLYN,day,3,0.7321565282863841,15.908613505950566
MANHATTAN,day,2,0.6013593394155254,18.5281922318757
MANHATTAN,day,2,0.8676605023063739,18.51780104439037
MANHATTAN,day,3,0.383550372386789,15.615085800813748
QUEENS,day,3,0.5713051599990867,15.187294528605076
QUEENS,day,5,0.5368351340840954,11.69952753547821
BROOKLYN,day,3,0.4185152436311729,13.833232893032452
STATEN ISLAND,day,3,0.902309558100735,14.46298233086571
BROOKLYN,night,3,0.24929013219628193,10.94695173383726
MANHATTAN,day,4,0.23455777556862656,11.576580892170753
BRONX,day,3,0.6192185817904762,16.564535832337114
MANHATTAN,day,3,0.6917448069864478,15.82452736377502
STATEN ISLAND,day,2,0.27515732889210864,13.730674540350773
MANHATTAN,night,4,0.45164569802916177,14.04843871781227
STATEN ISLAND,day,1,0.9519074586808693,18.446975016313043
MANHATTAN,day,4,0.3219556804216066,13.772325727763867
BRONX,night,3,0.7015246319056546,11.76951721401015
BROOKLYN,day,3,0.7661344543278317,14.512573618645096
STATEN ISLAND,night,3,0.5033158295186436,11.57279413624103
MANHATTAN,day,3,0.9437733880836247,16.850868995102694
BROOKLYN,day,1,0.7629910616969114,19.562957442453
STATEN ISLAND,day,4,0.512132121874808,11.476904155850933
BROOKLYN,day,3,0.6124016815984846,15.453399617000159
QUEENS,night,2,0.7233520990825906,17.217086436995825
QUEENS,night,2,0.6329711623862964,14.774187072536147
BROOKLYN,day,3,0.8908278254434683,15.328569585213762
QUEENS,day,3,0.421199796052361,13.413382292749782
BROOKLYN,night,3,0.3698971660502245,12.648053090950732
BRONX,night,3,0.2924550005457379,10.716387449105731
MANHATTAN,day,3,0.13400467125813564,13.736643504627658
MANHATTAN,day,5,0.1387125679420498,11.07575397942608
STATEN ISLAND,day,3,0.8830496737983545,17.008415947327695
BRONX,night,4,0.7105538317653166,13.943009172244222
BROOKLYN,day,2,0.6944791738928375,17.865233145470928
QUEENS,day,3,0.6531785370413974,16.089502358803376
MANHATTAN,night,2,0.8642972302246944,18.14823304843239
MANHATTAN,day,3,0.5322402330990648,16.49237473600883
BROOKLYN,day,4,0.8833697457024703,15.472378828037908
